calculated,real
85.2857,124.6666667
81.3836,119.1333333
77.1679,92.93617021
72.7733,69.92727273
68.3405,59.69642857
64.0007,39.70909091
59.8711,53.63157895
56.0489,53.39285714
52.6089,39.28070175
49.6101,31.05454545
47.0908,32.07272727
45.0776,16.71428571
43.5907,25.60714286
42.6395,32.71698113
42.2355,33.16363636
42.389,26.98181818
43.1081,25.98181818
44.4048,39.12727273
46.2882,37.94642857
48.7628,37.68518519
51.8235,32.6
55.4483,44.66071429
59.5944,30.10714286
64.1876,28.67857143
69.1198,33.07142857
74.2473,42.82142857
79.3918,58.07272727
84.3497,62.69642857
88.9101,51
92.8748,149.4909091
96.0825,178.4642857
98.4315,165.5472884
99.8964,152.630291
100.531,139.7132937
100.461,126.7962963
99.8706,165.6909091
98.9671,124.8928571
97.9582,128.2545455
97.0261,150.6607143
96.3041,122.5272727
95.8686,77.10714286
95.7328,65.66666667
95.8498,66.10843373
96.1215,48.05660377
96.4117,74.25454545
96.5626,81.72881356
96.4124,54.78571429
95.8145,70.98387097
94.6553,61.22222222
92.8662,64.9122807
90.4295,65.26229508
87.3811,54.76785714
83.8004,52.32142857
79.803,53.09677419
75.5259,66.93548387
71.1139,41.8
66.7082,45.28301887
62.4386,54.16923077
58.4154,25.26923077
54.7283,41.078125
51.4467,31.96226415
48.6211,38.05357143
46.2868,37.41269841
44.4669,28.4
43.176,33.69090909
42.4263,32.17460317
42.2267,31.90322581
42.5869,25.22222222
43.518,27.35714286
45.0307,25.10869565
47.1324,56.90909091
49.8243,61.53061224
53.0964,39
56.92,51.69565217
61.241,98.15217391
65.9738,100.2653061
70.9973,73.14285714
76.1531,90.38297872
81.2532,72.44186047
86.0889,86.83333333
90.4511,56.26086957
94.1527,58.08695652
97.0518,64.63157895
99.0734,85.14285714
100.221,105.4285714
100.578,125.7142857
100.293,146
99.5622,84.22916667
98.5966,178.2954545
97.5969,160.4626866
96.7298,73.83673469
96.1083,97.65517241
95.7849,162.7708333
95.7507,111.2826087
95.9384,79.25
96.2346,81.10638298
96.4924,130.1041667
96.5508,109.0307692
96.2507,87
95.4571,47.75862069
94.0707,67.24444444
92.0416,71.19565217
89.373,97.10416667
86.1166,50.61702128
82.3674,94.84090909
78.2501,67.34042553
73.9058,49.85714286
69.4802,71.42857143
65.1109,51.79591837
60.9201,83.81081081
57.0115,96.64473684
53.4672,133.8918919
50.3494,91.45
47.7021,48.85416667
45.5545,66.90410959
43.9288,62.79166667
42.8358,87.68493151
42.2882,68.11881188
42.2939,46.34782609
42.8634,65.71232877
44.0082,50.02702703
45.7368,47.86842105
48.0565,50.56756757
50.9644,40.68918919
54.4445,76.48
58.4592,71.60869565
62.9443,61.87012987
67.8001,55.09090909
72.8923,49.33333333
78.0515,79.68115942
83.0785,114.2027027
87.7635,82.5915493
91.9019,59.52941176
95.3205,57.13846154
97.9009,82.67567568
99.5957,88.18243243
100.438,97.45070423
100.538,78.61576307
100.065,59.78082192
99.2225,158.5211268
98.2219,171.5070423
