calculated,real
94.2014,94.84090909
87.4825,67.34042553
82.5181,49.85714286
77.6209,71.42857143
72.7519,51.79591837
68.0275,83.81081081
63.5637,96.64473684
59.461,133.8918919
55.7962,91.45
52.6278,48.85416667
49.9962,66.90410959
47.9267,62.79166667
46.4388,87.68493151
45.5442,68.11881188
45.2536,46.34782609
45.5782,65.71232877
46.5304,50.02702703
48.1214,47.86842105
50.3633,50.56756757
53.2577,40.68918919
56.7968,76.48
60.948,71.60869565
65.6543,61.87012987
70.8183,55.09090909
76.3021,49.33333333
81.9219,79.68115942
87.4566,114.2027027
92.6601,82.5915493
97.2828,59.52941176
101.099,57.13846154
103.942,82.67567568
105.722,88.18243243
106.451,97.45070423
106.239,78.61576307
105.282,59.78082192
103.832,158.5211268
102.164,171.5070423
