calculated,real
85.6628,124.6666667
81.1166,119.1333333
76.2239,92.93617021
71.1625,69.92727273
66.0994,59.69642857
61.1871,39.70909091
56.5558,53.63157895
52.3066,53.39285714
48.5174,39.28070175
45.2383,31.05454545
42.5037,32.07272727
40.3319,16.71428571
38.7306,25.60714286
37.7076,32.71698113
37.2649,33.16363636
37.4132,26.98181818
38.1648,25.98181818
39.5324,39.12727273
41.538,37.94642857
44.195,37.68518519
47.5118,32.6
51.4791,44.66071429
56.0644,30.10714286
61.197,28.67857143
66.7655,33.07142857
72.6126,42.82142857
78.5316,58.07272727
84.2823,62.69642857
89.6096,51
94.2669,149.4909091
98.0534,178.4642857
100.84,165.5472884
102.594,152.630291
103.381,139.7132937
103.358,126.7962963
102.746,165.6909091
101.798,124.8928571
100.758,128.2545455
99.8278,150.6607143
99.1506,122.5272727
98.7926,77.10714286
98.7428,65.66666667
98.9197,66.10843373
99.1858,48.05660377
99.365,74.25454545
99.2649,81.72881356
98.7014,54.78571429
97.5236,70.98387097
95.6302,61.22222222
92.983,64.9122807
89.6085,65.26229508
85.592,54.76785714
