calculated,real
84.8112,124.6666667
78.1671,119.1333333
71.5919,92.93617021
65.2447,69.92727273
59.2511,59.69642857
53.705,39.70909091
48.6762,53.63157895
44.2169,53.39285714
40.3648,39.28070175
37.1484,31.05454545
34.5828,32.07272727
32.6706,16.71428571
31.398,25.60714286
30.7396,32.71698113
30.6581,33.16363636
31.1135,26.98181818
32.0631,25.98181818
33.4604,39.12727273
35.2545,37.94642857
37.3809,37.68518519
39.7633,32.6
42.3152,44.66071429
44.9527,30.10714286
47.6258,28.67857143
50.3665,33.07142857
53.3304,42.82142857
56.789,58.07272727
61.0318,62.69642857
66.226,51
72.3293,149.4909091
79.0946,178.4642857
86.1407,165.5472884
93.0432,152.630291
99.419,139.7132937
104.99,126.7962963
109.607,165.6909091
113.257,124.8928571
116.019,128.2545455
118.032,150.6607143
119.44,122.5272727
120.353,77.10714286
120.824,65.66666667
120.84,66.10843373
120.331,48.05660377
119.189,74.25454545
117.301,81.72881356
114.572,54.78571429
110.957,70.98387097
106.473,61.22222222
101.207,64.9122807
95.3053,65.26229508
88.9546,54.76785714
82.3604,52.32142857
75.7211,53.09677419
69.2145,66.93548387
62.986,41.8
57.1482,45.28301887
51.7864,54.16923077
46.9627,25.26923077
42.7235,41.078125
39.1033,31.96226415
36.1258,38.05357143
33.8017,37.41269841
32.1281,28.4
31.0855,33.69090909
30.6443,32.17460317
30.7655,31.90322581
31.4085,25.22222222
32.5292,27.35714286
34.079,25.10869565
36.0037,56.90909091
38.2343,61.53061224
40.6897,39
43.2818,51.69565217
45.935,98.15217391
48.6233,100.2653061
51.421,73.14285714
54.532,90.38297872
58.2496,72.44186047
62.834,86.83333333
68.3804,56.26086957
74.7653,58.08695652
81.6831,64.63157895
88.7251,85.14285714
95.4736,105.4285714
101.578,125.7142857
106.808,146
111.064,84.22916667
114.373,178.2954545
116.842,160.4626866
118.616,73.83673469
119.831,97.65517241
120.578,162.7708333
120.885,111.2826087
120.718,79.25
119.989,81.10638298
118.585,130.1041667
116.396,109.0307692
113.342,87
109.401,47.75862069
104.615,67.24444444
99.0954,71.19565217
93.0046,97.10416667
86.5402,50.61702128
79.907,94.84090909
73.2977,67.34042553
66.8783,49.85714286
60.7822,71.42857143
55.1116,51.79591837
49.9418,83.81081081
45.3287,96.64473684
41.3147,133.8918919
37.9296,91.45
35.1925,48.85416667
33.1097,66.90410959
31.6718,62.79166667
30.8552,87.68493151
30.6259,68.11881188
30.9444,46.34782609
31.7682,65.71232877
33.0534,50.02702703
34.7488,47.86842105
36.7949,50.56756757
39.1181,40.68918919
41.6343,76.48
44.2561,71.60869565
46.921,61.87012987
49.6342,55.09090909
52.5173,49.33333333
55.8161,79.68115942
59.8297,114.2027027
64.7693,82.5915493
70.6505,59.52941176
77.275,57.13846154
84.2882,82.67567568
91.2685,88.18243243
97.8149,97.45070423
103.616,78.61576307
108.491,59.78082192
112.39,158.5211268
115.373,171.5070423
