calculated,real
48.4747,94.84090909
47.9595,67.34042553
54.1745,49.85714286
61.1312,71.42857143
66.1356,51.79591837
68.4442,83.81081081
68.1691,96.64473684
65.7647,133.8918919
61.7768,91.45
56.7391,48.85416667
51.18,66.90410959
45.7638,62.79166667
41.4372,87.68493151
39.0823,68.11881188
38.9142,46.34782609
40.6111,65.71232877
43.7397,50.02702703
47.9306,47.86842105
52.8651,50.56756757
58.2317,40.68918919
63.6729,76.48
68.7539,71.60869565
72.9336,61.87012987
75.5668,55.09090909
75.966,49.33333333
73.7323,79.68115942
70.0662,114.2027027
69.0032,82.5915493
73.3612,59.52941176
82.4539,57.13846154
94.3351,82.67567568
107.022,88.18243243
118.798,97.45070423
128.318,78.61576307
134.647,59.78082192
137.186,158.5211268
135.461,171.5070423
