calculated,real
80.0747,52.32142857
68.6877,53.09677419
59.3751,66.93548387
51.7829,41.8
45.9987,45.28301887
41.7237,54.16923077
38.5355,25.26923077
36.0584,41.078125
34.0208,31.96226415
32.251,38.05357143
30.6618,37.41269841
29.2357,28.4
28.0259,33.69090909
27.1548,32.17460317
26.7996,31.90322581
27.1281,25.22222222
28.2393,27.35714286
30.1395,25.10869565
32.7598,56.90909091
35.9775,61.53061224
39.6225,39
43.4806,51.69565217
47.2934,98.15217391
50.7691,100.2653061
53.6145,73.14285714
55.6028,90.38297872
56.7021,72.44186047
57.261,86.83333333
58.091,56.26086957
60.1326,58.08695652
63.8895,64.63157895
69.257,85.14285714
75.7571,105.4285714
82.811,125.7142857
89.9039,146
96.6555,84.22916667
102.833,178.2954545
108.318,160.4626866
113.069,73.83673469
117.063,97.65517241
120.269,162.7708333
122.616,111.2826087
123.996,79.25
124.268,81.10638298
123.285,130.1041667
120.924,109.0307692
117.116,87
111.87,47.75862069
105.291,67.24444444
97.5855,71.19565217
89.0517,97.10416667
80.0742,50.61702128
