normal,ampminus2,ampplus2
84.4038,84.1327,82.1269
77.6544,79.8505,73.8417
70.9844,75.7612,65.1445
64.5584,71.9039,56.5443
58.506,68.3023,48.4268
52.9226,64.9695,41.0528
47.8779,61.9209,34.5736
43.4224,59.1826,29.0529
39.5939,56.7961,24.4879
36.4182,54.8174,20.8289
33.9086,53.3055,18.0019
32.065,52.305,15.9191
30.8696,51.8288,14.4932
30.2941,51.8474,13.6541
30.3001,52.294,13.3511
30.8448,53.0693,13.5631
31.8844,54.0591,14.2963
33.3723,55.1394,15.5795
35.2529,56.1915,17.4611
37.4594,57.105,19.9778
39.9109,57.7917,23.1636
42.5175,58.1967,27.0083
45.1994,58.323,31.4703
47.9231,58.2576,36.4824
50.7538,58.2048,41.9991
53.8914,58.484,48.049
57.6356,59.4618,54.7239
62.2614,61.4292,62.054
67.8782,64.5016,69.8162
74.3687,68.6121,77.4387
81.421,73.561,84.0745
88.6156,79.0817,88.83
95.5185,84.8884,91.0618
101.767,90.7099,90.6074
107.117,96.2987,87.8725
111.469,101.448,83.7163
114.846,105.988,79.2029
117.358,109.788,75.3374
119.149,112.759,72.8673
120.355,114.841,72.2113
121.061,116.008,73.4844
121.289,116.262,76.53
120.997,115.631,80.962
120.093,114.166,86.2023
118.462,111.94,91.5173
116,109.043,96.108
112.637,105.585,99.2179
108.369,101.683,100.264
103.261,97.4668,98.9381
97.4436,93.0631,95.2477
91.0998,88.5949,89.4889
84.4396,84.1704,82.1614
