tempminus4,tempminus3,tempminus2,tempminus1,normalmt,tempplus1,tempplus2,tempplus3,tempplus4,normalta,ampminus2,ampminus1,ampplus1,ampplus2,normalp,preminus20,preminus10,preplus10
30.5442,43.591,58.042,72.3672,84.4038,91.5629,91.2011,81.5878,61.1724,84.4038,84.1327,84.6144,83.6099,82.1269,84.4038,59.9395,74.9406,91.7667
25.7664,37.657,51.1988,65.1507,77.6544,86.3202,88.5854,82.4392,66.3882,77.6544,79.8505,78.9783,75.951,73.8417,77.6544,50.2561,67.5278,85.2061
21.5201,32.2789,44.8639,58.2902,70.9844,80.7882,85.2697,82.2396,70.0745,70.9844,75.7612,73.5322,68.1812,65.1445,70.9844,42.3652,60.1933,78.6705
17.8212,27.4959,39.1114,51.9041,64.5584,75.1601,81.4385,81.1271,72.4257,64.5584,71.9039,68.3542,60.6006,56.5443,64.5584,36.4563,53.0848,72.318
14.6592,23.3157,33.9792,46.071,58.506,69.6079,77.286,79.2769,73.6271,58.506,68.3023,63.5015,53.4446,48.4268,58.506,32.0262,46.2939,66.2815
11.9969,19.7239,29.4761,40.837,52.9226,64.2789,73.001,76.8847,73.8731,52.9226,64.9695,59.0178,46.8815,41.0528,52.9226,28.6041,39.8493,60.6676
9.7965,16.6851,25.59,36.2245,47.8779,59.2982,68.7629,74.1607,73.3825,47.8779,61.9209,54.9381,41.0213,34.5736,47.8779,25.8787,33.8688,55.5558
8.00353,14.1581,22.2952,32.238,43.4224,54.7746,64.7416,71.3219,72.3955,43.4224,59.1826,51.299,35.9244,29.0529,43.4224,23.6634,28.958,51.0071
6.56365,12.094,19.5604,28.8734,39.5939,50.801,61.0948,68.5857,71.1684,39.5939,56.7961,48.1425,31.6143,24.4879,39.5939,21.8483,25.275,47.0635
5.42472,10.4457,17.3482,26.1177,36.4182,47.4568,57.9653,66.1591,69.9587,36.4182,54.8174,45.5118,28.087,20.8289,36.4182,20.3684,22.5827,43.7518
4.53651,9.16125,15.6201,23.9527,33.9086,44.8016,55.4727,64.224,69.0016,33.9086,53.3055,43.4481,25.3157,18.0019,33.9086,19.185,20.6253,41.087
3.84838,8.20042,14.3358,22.3518,32.065,42.8722,53.7004,62.9171,68.4814,32.065,52.305,41.9781,23.2627,15.9191,32.065,18.2744,19.2198,39.0703
3.33191,7.52014,13.4561,21.2826,30.8696,41.6764,52.69,62.3165,68.5093,30.8696,51.8288,41.105,21.8795,14.4932,30.8696,17.6215,18.248,37.6958
2.95241,7.07825,12.9473,20.7135,30.2941,41.1951,52.4371,62.4358,69.1132,30.2941,51.8474,40.8053,21.1198,13.6541,30.2941,17.2174,17.6388,36.9484
2.6751,6.8588,12.7774,20.6053,30.3001,41.3879,52.8995,63.2288,70.2387,30.3001,52.294,41.0296,20.9441,13.3511,30.3001,17.0572,17.507,36.8096
2.49987,6.84159,12.9262,20.9311,30.8448,42.199,54.0036,64.5995,71.7623,30.8448,53.0693,41.7121,21.3279,13.5631,30.8448,17.1393,18.0891,37.2584
2.40977,7.05128,13.384,21.6648,31.8844,43.5606,55.6516,66.4121,73.5048,31.8844,54.0591,42.7741,22.2521,14.2963,31.8844,17.4649,19.2631,38.2716
2.41249,7.45351,14.1467,22.7809,33.3723,45.3933,57.7218,68.4942,75.2391,33.3723,55.1394,44.1268,23.7139,15.5795,33.3723,18.0356,20.8161,39.8221
2.5122,8.10014,15.207,24.255,35.2529,47.6022,60.0695,70.641,76.7035,35.2529,56.1915,45.6776,25.703,17.4611,35.2529,18.8544,22.5514,41.8755
2.73342,8.98916,16.5583,26.0544,37.4594,50.0749,62.5239,72.62,77.6129,37.4594,57.105,47.3284,28.2024,19.9778,37.4594,19.9215,24.2667,44.3865
3.11371,10.1394,18.1864,28.1365,39.9109,52.6807,64.8957,74.1843,77.6872,39.9109,57.7917,48.9813,31.1757,23.1636,39.9109,21.2334,25.7056,47.2991
3.7169,11.5481,20.0647,30.4485,42.5175,55.2813,66.9935,75.1017,76.6902,42.5175,58.1967,50.5535,34.5577,27.0083,42.5175,22.779,26.6317,50.5458
4.60086,13.2035,22.1718,32.9439,45.1994,57.7575,68.6626,75.2026,74.4909,45.1994,58.323,51.9959,38.2695,31.4703,45.1994,24.5377,27.4571,54.0612
5.8742,15.1002,24.5002,35.6062,47.9231,60.0577,69.8429,74.45,71.1298,47.9231,58.2576,53.3329,42.2431,36.4824,47.9231,26.4755,28.5722,57.7941
7.5725,17.265,27.0953,38.4915,50.7538,62.2581,70.6349,72.9982,66.8627,50.7538,58.2048,54.7021,46.4784,41.9991,50.7538,28.5434,30.0163,61.7373
9.69629,19.7849,30.0853,41.7642,53.8914,64.596,71.3193,71.1882,62.108,53.8914,58.484,56.3738,51.0909,48.049,53.8914,30.6766,31.6983,65.9402
12.2882,22.8139,33.6766,45.6804,57.6356,67.4062,72.2598,69.4064,57.2625,57.6356,59.4618,58.6978,56.2938,54.7239,57.6356,32.7971,33.5676,70.5022
15.4345,26.5385,38.0968,50.4994,62.2614,70.959,73.7018,67.857,52.4791,62.2614,61.4292,61.9773,62.2751,62.054,62.2614,34.8181,37.1038,75.529
19.2451,31.1105,43.5058,56.3682,67.8782,75.3006,75.6123,66.4302,47.5966,67.8782,64.5016,66.3519,69.0338,69.8162,67.8782,36.6507,43.5335,81.0639
23.7946,36.5974,49.932,63.2551,74.3687,80.2124,77.68,64.7696,42.3056,74.3687,68.6121,71.7579,76.2963,77.4387,74.3687,39.1302,52.1086,87.0367
29.0844,42.9539,57.2607,70.9519,81.421,85.2892,79.4566,62.4757,36.3985,81.421,73.561,77.9744,83.5562,84.0745,81.421,45.7418,61.812,93.2508
35.0227,50.0217,65.2487,79.1235,88.6156,90.0724,80.5277,59.2999,29.9444,88.6156,79.0817,84.6851,90.204,88.83,88.6156,55.4596,71.7551,99.4232
41.4382,57.5521,73.5668,87.3688,95.5185,94.1676,80.6449,55.2552,23.3014,95.5185,84.8884,91.5448,95.6911,91.0618,95.5185,66.1342,81.2256,105.243
48.0864,65.2323,81.8423,95.2887,101.767,97.336,79.7926,50.6114,16.9768,101.767,90.7099,98.2258,99.6759,90.6074,101.767,76.3574,89.7123,110.441
54.6813,72.722,89.7086,102.542,107.117,99.5243,78.1697,45.798,11.4986,107.117,96.2987,104.45,102.099,87.8725,107.117,85.3442,96.9187,114.841
60.9199,79.686,96.8408,108.876,111.469,100.851,76.1284,41.2966,7.16863,111.469,101.448,110.001,103.18,83.7163,111.469,92.7566,102.746,118.377
66.5112,85.8245,102.98,114.138,114.846,101.555,74.0819,37.5264,4.10814,114.846,105.988,114.73,103.343,79.2029,114.846,98.5607,107.256,121.085
71.1978,90.8908,107.941,118.266,117.358,101.923,72.4191,34.7935,2.21839,117.358,109.788,118.547,103.091,75.3374,117.358,102.902,110.603,123.077
74.7729,94.7016,111.611,121.261,119.149,102.227,71.447,33.2744,1.21604,119.149,112.759,121.411,102.887,72.8673,119.149,105.999,112.985,124.488
77.0918,97.1367,113.929,123.154,120.355,102.672,71.3597,33.0559,0.753738,120.355,114.841,123.311,103.068,72.2113,120.355,108.066,114.577,125.439
78.0734,98.1367,114.878,123.983,121.061,103.366,72.2318,34.1627,0.569172,121.061,116.008,124.256,103.791,73.4844,121.061,109.26,115.502,126.002
77.7029,97.6971,114.468,123.769,121.289,104.307,74.0265,36.5463,0.536206,121.289,116.262,124.266,105.025,76.53,121.289,109.66,115.808,126.188
76.0273,95.8642,112.734,122.519,120.997,105.394,76.6029,40.1064,0.631651,120.997,115.631,123.363,106.568,80.962,120.997,109.263,115.473,125.941
73.1515,92.731,109.735,120.227,120.093,106.449,79.739,44.6729,0.919393,120.093,114.166,121.58,108.092,86.2023,120.093,108.006,114.42,125.159
69.2295,88.4357,105.56,116.896,118.462,107.242,83.1461,49.9971,1.61846,118.462,111.94,118.958,109.189,91.5173,118.462,105.79,112.545,123.718
64.4582,83.1578,100.334,112.553,116,107.533,86.5011,55.7758,3.34185,116,109.043,115.556,109.448,96.108,116,102.517,109.752,121.501
59.0605,77.1112,94.2237,107.269,112.637,107.104,89.4773,61.656,7.85185,112.637,105.585,111.451,108.52,99.2179,112.637,98.1187,105.982,118.429
53.2739,70.5333,87.4304,101.165,108.369,105.798,91.7807,67.2802,18.4607,108.369,101.683,106.747,106.174,100.264,108.369,92.5782,101.237,114.482
47.3321,63.6694,80.1831,94.4105,103.261,103.538,93.1867,72.3136,32.6803,103.261,97.4668,101.57,102.346,98.9381,103.261,85.935,95.5935,109.707
41.4499,56.7569,72.7205,87.2122,97.4436,100.335,93.5597,76.4834,44.8448,97.4436,93.0631,96.0623,97.1307,95.2477,97.4436,78.2663,89.1939,104.218
35.8087,50.0089,65.2728,79.7944,91.0998,96.2845,92.8646,79.6047,54.1538,91.0998,88.5949,90.3709,90.7649,89.4889,91.0998,69.6305,82.2351,98.177
30.5505,43.6008,58.0447,72.3775,84.4396,91.5443,91.1572,81.5879,61.1793,84.4396,84.1704,84.64,83.5766,82.1614,84.4396,59.9558,74.9397,91.7771
