normal,preminus10,preplus10
84.4038,74.9406,91.7667
77.6544,67.5278,85.2061
70.9844,60.1933,78.6705
64.5584,53.0848,72.318
58.506,46.2939,66.2815
52.9226,39.8493,60.6676
47.8779,33.8688,55.5558
43.4224,28.958,51.0071
39.5939,25.275,47.0635
36.4182,22.5827,43.7518
33.9086,20.6253,41.087
32.065,19.2198,39.0703
30.8696,18.248,37.6958
30.2941,17.6388,36.9484
30.3001,17.507,36.8096
30.8448,18.0891,37.2584
31.8844,19.2631,38.2716
33.3723,20.8161,39.8221
35.2529,22.5514,41.8755
37.4594,24.2667,44.3865
39.9109,25.7056,47.2991
42.5175,26.6317,50.5458
45.1994,27.4571,54.0612
47.9231,28.5722,57.7941
50.7538,30.0163,61.7373
53.8914,31.6983,65.9402
57.6356,33.5676,70.5022
62.2614,37.1038,75.529
67.8782,43.5335,81.0639
74.3687,52.1086,87.0367
81.421,61.812,93.2508
88.6156,71.7551,99.4232
95.5185,81.2256,105.243
101.767,89.7123,110.441
107.117,96.9187,114.841
111.469,102.746,118.377
114.846,107.256,121.085
117.358,110.603,123.077
119.149,112.985,124.488
120.355,114.577,125.439
121.061,115.502,126.002
121.289,115.808,126.188
120.997,115.473,125.941
120.093,114.42,125.159
118.462,112.545,123.718
116,109.752,121.501
112.637,105.982,118.429
108.369,101.237,114.482
103.261,95.5935,109.707
97.4436,89.1939,104.218
91.0998,82.2351,98.177
84.4396,74.9397,91.7771
