normal,tempminus4,tempplus4
84.4038,30.5442,61.1724
77.6544,25.7664,66.3882
70.9844,21.5201,70.0745
64.5584,17.8212,72.4257
58.506,14.6592,73.6271
52.9226,11.9969,73.8731
47.8779,9.7965,73.3825
43.4224,8.00353,72.3955
39.5939,6.56365,71.1684
36.4182,5.42472,69.9587
33.9086,4.53651,69.0016
32.065,3.84838,68.4814
30.8696,3.33191,68.5093
30.2941,2.95241,69.1132
30.3001,2.6751,70.2387
30.8448,2.49987,71.7623
31.8844,2.40977,73.5048
33.3723,2.41249,75.2391
35.2529,2.5122,76.7035
37.4594,2.73342,77.6129
39.9109,3.11371,77.6872
42.5175,3.7169,76.6902
45.1994,4.60086,74.4909
47.9231,5.8742,71.1298
50.7538,7.5725,66.8627
53.8914,9.69629,62.108
57.6356,12.2882,57.2625
62.2614,15.4345,52.4791
67.8782,19.2451,47.5966
74.3687,23.7946,42.3056
81.421,29.0844,36.3985
88.6156,35.0227,29.9444
95.5185,41.4382,23.3014
101.767,48.0864,16.9768
107.117,54.6813,11.4986
111.469,60.9199,7.16863
114.846,66.5112,4.10814
117.358,71.1978,2.21839
119.149,74.7729,1.21604
120.355,77.0918,0.753738
121.061,78.0734,0.569172
121.289,77.7029,0.536206
120.997,76.0273,0.631651
120.093,73.1515,0.919393
118.462,69.2295,1.61846
116,64.4582,3.34185
112.637,59.0605,7.85185
108.369,53.2739,18.4607
103.261,47.3321,32.6803
97.4436,41.4499,44.8448
91.0998,35.8087,54.1538
84.4396,30.5505,61.1793
