calculated,real
85.7678,52.32142857
79.6681,53.09677419
75.1558,66.93548387
70.7007,41.8
66.269,45.28301887
61.9676,54.16923077
57.9027,25.26923077
54.1662,41.078125
50.8283,31.96226415
47.9424,38.05357143
45.5454,37.41269841
43.6602,28.4
42.3049,33.69090909
41.4899,32.17460317
41.2252,31.90322581
41.521,25.22222222
42.3885,27.35714286
43.8379,25.10869565
45.8802,56.90909091
48.517,61.53061224
51.741,39
55.5228,51.69565217
59.8102,98.15217391
64.5145,100.2653061
69.5101,73.14285714
74.6297,90.38297872
79.6718,72.44186047
84.4121,86.83333333
88.6234,56.26086957
92.1002,58.08695652
94.6897,64.63157895
96.3112,85.14285714
96.9754,105.4285714
96.7827,125.7142857
95.9108,146
94.5898,84.22916667
93.0698,178.2954545
91.5879,160.4626866
90.3422,73.83673469
89.4721,97.65517241
89.0503,162.7708333
89.0786,111.2826087
89.494,79.25
90.1793,81.10638298
90.9758,130.1041667
91.6981,109.0307692
92.1563,87
92.1758,47.75862069
91.6134,67.24444444
90.3773,71.19565217
88.4315,97.10416667
85.799,50.61702128
