calculated,real
74.0407,124.6666667
70.5359,119.1333333
66.1107,92.93617021
60.8872,69.92727273
55.0703,59.69642857
48.9063,39.70909091
42.6682,53.63157895
36.6786,53.39285714
31.3828,39.28070175
27.3321,31.05454545
24.8359,32.07272727
23.7353,16.71428571
23.6648,25.60714286
24.2948,32.71698113
25.3993,33.16363636
26.8259,26.98181818
28.4565,25.98181818
30.1717,39.12727273
31.8159,37.94642857
33.1629,37.68518519
33.8555,32.6
33.3705,44.66071429
32.1727,30.10714286
31.4342,28.67857143
31.6682,33.07142857
34.9369,42.82142857
42.1903,58.07272727
52.4294,62.69642857
64.534,51
77.4256,149.4909091
90.0759,178.4642857
101.572,165.5472884
111.205,152.630291
118.529,139.7132937
123.373,126.7962963
125.822,165.6909091
126.141,124.8928571
124.694,128.2545455
121.859,150.6607143
117.968,122.5272727
113.287,77.10714286
108.035,65.66666667
102.433,66.10843373
96.779,48.05660377
91.4901,74.25454545
87.0286,81.72881356
83.6955,54.78571429
81.4371,70.98387097
79.8587,61.22222222
78.4093,64.9122807
76.5776,65.26229508
74.0026,54.76785714
