date,tmean ,tmin,tmax,precipitation (mm),week
20150511,24.9,22.8,28.2,0,105
20150512,24.8,23.5,28,5.2,105
20150513,23.8,21.5,27.4,10.1,105
20150514,24.7,21.7,28.1,0.4,105
20150515,25.3,23.2,28.6,0,105
20150516,24.1,20.4,28.7,0,105
20150517,25.3,22.9,28.6,0,105
20150518,25,21.7,28.2,0,106
20150519,25.1,22.9,28.3,1,106
20150520,24.4,21.6,27.7,0,106
20150521,24.5,22.2,27.4,0,106
20150522,23.4,21.1,26.8,4,106
20150523,23.2,18.4,27.5,0,106
20150524,22.9,18.6,27,0,106
20150525,22.9,19.1,27.3,0,107
20150526,23.2,20.7,27.5,0,107
20150527,22.8,18.1,27,0,107
20150528,22.9,18.8,27.6,0,107
20150529,23,19.8,26.1,0,107
20150530,23.8,21.2,27.2,0,107
20150531,23,21.5,25.8,32.5,107
20150601,22.8,20.5,25,12.9,108
20150602,23,22,24.2,0.4,108
20150603,23.7,21.2,26.8,0.4,108
20150604,24.1,21.6,27.2,0,108
20150605,24.3,22.5,26.8,11.8,108
20150606,24.9,22.6,28.2,0,108
20150607,23.5,21.6,27.4,0,108
20150608,21.6,18.1,26.5,0,109
20150609,22.1,16.9,26.4,0,109
20150610,22.7,19.6,26.5,0,109
20150611,23,19.2,27,3.4,109
20150612,22.5,20.7,26.1,16.7,109
20150613,23.2,20.6,25.6,8.7,109
20150614,23.8,20.7,28,0,109
20150615,22.7,17.9,26.9,10.1,110
20150616,22.8,20,26.8,0,110
20150617,23.6,18.2,27.2,0,110
20150618,25,22.6,28.3,0.4,110
20150619,24.8,23.2,27.6,2,110
20150620,23,21.3,25.4,2.4,110
20150621,22.6,19.8,26.3,13.4,110
20150622,22.2,20.7,24.9,4.4,111
20150623,22.8,20.9,25.9,0.2,111
20150624,22.8,21.1,25.5,0.4,111
20150625,23.5,21.6,26.6,0,111
20150626,22.8,20.1,26.1,0,111
20150627,21.7,17.6,26.6,4.2,111
20150628,22,18.4,25.3,0.2,111
20150629,21.4,19.3,24.1,12.1,112
20150630,22,20.3,26.3,5.9,112
20150701,21.8,17.4,26.3,0,112
20150702,22,19.9,24.9,0,112
20150703,22,19,25.5,0,112
20150704,22.1,19.9,24.9,0,112
20150705,21.8,20.2,25.1,0,112
20150706,20,14.5,25.4,0,113
20150707,20.2,16.3,24.6,0,113
20150708,21.8,17.2,26,0,113
20150709,19.6,15.8,25,0,113
20150710,19.4,13.7,25.6,0,113
20150711,20.9,15.4,26,0,113
20150712,21.7,17.5,24.8,0,113
20150713,22.5,19.9,25.6,0,114
20150714,22.6,19.3,26,0.2,114
20150715,23.1,20.4,26.1,2.6,114
20150716,22.4,20.6,25.5,4.4,114
20150717,22.6,20.4,26.4,7.4,114
20150718,22.4,20,25.3,0.4,114
20150719,21.9,20.4,24.7,7.6,114
20150720,21.3,18.6,24.9,0.4,115
20150721,21.8,18.7,25,0,115
20150722,22.1,18.7,25.3,0,115
20150723,21.7,18.2,25.3,0,115
20150724,21.8,19.4,25.2,0,115
20150725,21.8,18.8,25.3,0,115
20150726,22.3,19.9,26.1,0,115
20150727,22.4,18.2,25.7,0,116
20150728,22.5,17.6,28,0,116
20150729,23.3,20.4,27.4,0,116
20150730,22.9,20.1,26.2,0,116
20150731,22.4,19.5,25.9,0,116
20150801,22.2,18.1,26.6,0,116
20150802,22.5,18.2,26.4,0,116
20150803,20.9,18.6,23.1,0,117
20150804,20.5,18.8,22.5,6,117
20150805,21.8,19.4,25.3,3.6,117
20150806,22.9,19.9,26.5,9.3,117
20150807,22.8,21.2,26.8,13.4,117
20150808,22.7,20,26.4,1.2,117
20150809,22.3,19.1,26.3,0,117
20150810,22.4,17.6,26.2,0,118
20150811,23.2,20.1,26.6,0,118
20150812,24.2,21.3,28,3.2,118
20150813,23.4,20.3,26.9,3.4,118
20150814,23,20.6,26.2,0,118
20150815,23.3,19.7,27.5,1,118
20150816,22.7,20.1,25.9,0.2,118
20150817,21.9,19.5,25.5,0,119
20150818,22.1,17.6,25.5,0,119
20150819,21.8,18,25.9,0,119
20150820,21.6,18.4,26.1,0,119
20150821,20.6,16.7,25.2,0,119
20150822,20.6,16.1,24.6,0,119
20150823,20.7,16.1,24.9,2,119
20150824,21.5,18,25.6,0,120
20150825,21,16.1,25.3,5,120
20150826,21.5,19.4,24.9,1.2,120
20150827,22,19.8,25.8,0,120
20150828,21.7,19.2,25.1,0,120
20150829,21.9,18.6,25.7,0.8,120
20150830,21.4,18,25.2,1.2,120
20150831,22.8,20.2,27,0.4,121
20150901,22.8,20.2,26.7,0,121
20150902,22.7,20.7,25.9,0,121
20150903,22.3,20.7,26,0,121
20150904,21.9,18,26.5,1.6,121
20150905,21.8,19.3,25.7,2.4,121
20150906,22,17.5,26.1,0,121
20150907,22.1,19.4,25.4,0,122
20150908,22.9,19.2,26.8,4.2,122
20150909,22.3,19.4,26.8,18,122
20150910,22.9,19.6,26.8,5.4,122
20150911,22.7,20,26.3,0,122
20150912,22.4,17.5,26.4,34,122
20150913,20.3,18.4,22,5,122
20150914,22.2,19.6,25.6,0,123
20150915,20.2,16.4,24.9,0,123
20150916,20.6,15.6,24.6,0,123
20150917,22,19.3,25.5,0,123
20150918,22.4,19.7,26.4,0,123
20150919,22.1,17.1,26.9,0,123
20150920,22.4,17.1,27.2,0,123
20150921,22.3,19.8,25.8,0.2,124
20150922,22.1,18.6,26.3,3.4,124
20150923,22.5,18.4,26.3,5,124
20150924,22.2,19.2,26.8,4.2,124
20150925,22.7,19.2,26.3,5,124
20150926,21.9,19.1,26.1,4.4,124
20150927,22.4,19.4,26.2,0.2,124
20150928,23,20.4,26.9,0.6,125
20150929,22.6,19.2,26.8,2.2,125
20150930,21.3,18.7,24.9,0.4,125
20151001,22.3,19.9,26.5,17.1,125
20151002,22.6,20,25.9,1.8,125
20151003,23.1,21.2,25.7,0.2,125
20151004,24.7,22.2,28.3,0,125
20151005,23.8,20,27.9,1.2,126
20151006,23.3,21.8,26.2,1,126
20151007,22.7,18.7,26.2,0,126
20151008,23.3,18.3,26.9,0,126
20151009,23.6,21.1,26.7,0,126
20151010,24.1,20.3,27.3,0,126
20151011,24.7,22.5,28.8,0,126
20151012,24.6,21.9,27.9,0,127
20151013,24.7,22.2,28.1,0,127
20151014,24.6,20.6,28.3,0,127
20151015,24.8,21.5,28.2,0,127
20151016,24.6,22.1,28.4,0,127
20151017,24.5,22,28,0,127
20151018,24.3,21.6,27.6,0.8,127
20151019,24.3,20.1,28,0.2,128
20151020,24.4,22.3,28.1,0,128
20151021,24.5,21.5,28.1,1,128
20151022,24.3,20.5,28.3,0.2,128
20151023,24.9,21.7,28.4,0,128
20151024,25.2,21.4,29,5.8,128
20151025,24.9,22.6,28,2.6,128
20151026,24.9,21.2,30.1,4.6,129
20151027,23.9,22.3,26.8,11.9,129
20151028,24.3,21.2,27.6,1,129
20151029,23,22.1,25.9,13.5,129
20151030,23.8,20.8,27.5,0.8,129
20151031,23.3,20,26.9,0.4,129
20151101,24.2,21.1,27.6,0,129
20151102,24.4,20.1,28.2,0.8,130
20151103,24.8,22.3,28.3,1.8,130
20151104,25.1,22.5,28.4,8.4,130
20151105,23.7,22.2,26.8,4,130
20151106,23.1,20.9,26.8,0.2,130
20151107,22.7,17,27.3,0,130
20151108,22.9,18.7,26.9,0.6,130
20151109,24.1,20.1,28.5,0,131
20151110,24.1,20.7,27.5,0,131
20151111,23.8,18.6,27.6,0,131
20151112,23.3,18,28.3,0.2,131
20151113,24.7,20,28.7,0,131
20151114,25.1,21.1,28.7,0,131
20151115,25.4,21.1,28.9,0,131
20151116,26.2,23.4,29.3,0,132
20151117,25.6,22.3,28.9,0,132
20151118,26.2,23,30.2,0,132
20151119,26.2,24.3,30.3,1.8,132
20151120,25.8,23,30.3,0,132
20151121,25.6,23.5,29.2,0.2,132
20151122,25.6,23.1,29,0,132
20151123,25.4,21.4,28.9,0,133
20151124,25.4,20.9,29,1,133
20151125,25.8,22.9,29.1,0.2,133
20151126,26.9,24.1,30.2,0,133
20151127,26.7,24.5,30.3,0,133
20151128,26.5,23,30,0,133
20151129,26,22.4,29.2,0,133
20151130,25.1,21.7,29.7,1.2,134
20151201,25.5,20.7,29.7,0,134
20151202,25.8,21.6,30.1,0,134
20151203,25.8,21.7,29.7,0,134
20151204,26.2,21.7,30.2,1.2,134
20151205,26.8,23,31.6,0.4,134
20151206,27.2,24.3,30.6,0.2,134
20151207,27.2,23.5,30.7,0,135
20151208,27.7,24.1,31.2,0,135
20151209,27,24,31.7,18.5,135
20151210,26.5,23.4,30.3,10.2,135
20151211,25.8,23.6,28.1,0.8,135
20151212,26.2,24.5,29.9,0,135
20151213,25.9,21.4,29.6,0,135
20151214,26,22.1,29.8,0,136
20151215,26.3,21.5,30.2,0,136
20151216,27.2,23.9,30.9,1.8,136
20151217,27.5,23.5,30.8,0,136
20151218,27.1,23.3,31.7,6.3,136
20151219,27.6,24.7,30.8,0,136
20151220,27.6,22.2,31.3,0,136
20151221,28,24.7,31.1,0,137
20151222,28.2,25.1,31.4,0,137
20151223,28.7,26.2,32.3,3.4,137
20151224,27.7,24.8,31.4,0,137
20151225,28.3,25.6,32,0,137
20151226,27.9,24.7,31.9,0,137
20151227,27.8,24.5,31.3,0,137
20151228,28.2,25,31.8,1.2,138
20151229,27.7,24.1,32.2,30.3,138
20151230,25.7,23.1,29.4,23.2,138
20151231,24.5,22.4,26.9,104.3,138
20160101,27.2,24.5,30.2,15.7,138
20160102,28.4,25.6,32.2,0,138
20160103,27.5,24.4,30.4,0.4,138
20160104,27.3,24.1,30.6,0,139
20160105,26.2,22.7,29.9,0,139
20160106,26.5,22.3,30.3,0,139
20160107,27.1,23.5,30.5,9.2,139
20160108,26.4,23.6,30,3,139
20160109,26.6,24.5,30,2.8,139
20160110,25.8,23.2,28.9,3.2,139
20160111,27.5,23.8,30.3,0,140
20160112,26.4,24,30.7,4.6,140
20160113,27.3,24.7,31,11.8,140
20160114,26.6,23.8,30.1,0.4,140
20160115,27.1,23.9,30.4,0,140
20160116,27.3,24.7,30.4,0,140
20160117,26.5,22.8,30.1,0,140
20160118,26.9,22.7,30.3,0,141
20160119,27,23.5,29.8,0,141
20160120,27.5,23.1,30.9,0,141
20160121,28.3,24.9,31.4,0,141
20160122,27.8,25.2,31.6,6.3,141
20160123,27.1,23.7,30.7,4.6,141
20160124,27.5,24.1,31,0.6,141
20160125,27.6,25.4,31.1,0,142
20160126,27.8,22.9,31.2,0,142
